店舗:,滋賀県じゃむじゃむ
日付,時間,出勤数,待機
2023-05-03,01:19,5,5
2023-05-03,02:13,1,1
2023-05-03,03:18,1,1
2023-05-03,04:12,1,1
2023-05-03,05:15,1,1
2023-05-03,06:12,1,1
2023-05-03,07:13,1,1
2023-05-03,08:14,1,1
2023-05-03,10:15,6,1
2023-05-03,11:30,6,1
2023-05-03,12:15,6,1
2023-05-03,13:17,6,3
2023-05-03,14:13,6,2
2023-05-03,15:18,6,3
2023-05-03,16:14,6,5
2023-05-03,17:18,6,5
2023-05-03,18:14,6,5
2023-05-03,19:15,6,5
2023-05-03,20:12,6,5
2023-05-03,21:29,6,6
2023-05-03,22:17,6,5
2023-05-03,23:13,6,3
2023-05-04,00:15,6,3
2023-05-04,01:19,6,5
2023-05-04,02:12,1,1
2023-05-04,03:17,1,1
2023-05-04,04:11,1,1
2023-05-04,05:15,1,1
2023-05-04,06:13,1,1
2023-05-04,07:14,1,1
2023-05-04,08:14,1,1
2023-05-04,10:12,6,1
2023-05-04,11:30,6,1
2023-05-04,12:15,6,1
2023-05-04,13:17,6,4
2023-05-04,14:13,6,4
2023-05-04,15:18,6,4
2023-05-04,16:14,9,5
2023-05-04,17:18,9,5
2023-05-04,18:14,9,6
2023-05-04,19:15,9,6
2023-05-04,20:12,9,7
2023-05-04,21:28,8,7
2023-05-04,22:18,8,7
2023-05-04,23:13,7,3
2023-05-05,00:15,7,5
2023-05-05,01:28,7,7
2023-05-05,02:12,1,1
2023-05-05,03:18,1,1
2023-05-05,04:11,1,1
2023-05-05,05:15,1,1
2023-05-05,06:12,1,1
2023-05-05,07:13,1,1
2023-05-05,08:15,1,1
2023-05-05,10:07,10,1
2023-05-05,11:29,10,1
2023-05-05,12:15,10,1
2023-05-05,13:17,10,3
2023-05-05,14:13,10,4
2023-05-05,15:19,11,6
2023-05-05,16:13,11,6
2023-05-05,17:17,11,6
2023-05-05,18:14,11,3
2023-05-05,19:15,11,5
2023-05-05,20:12,11,5
2023-05-05,21:27,11,5
2023-05-05,22:17,11,5
2023-05-05,23:13,11,6
2023-05-06,00:14,11,7
2023-05-06,01:19,5,4
2023-05-06,02:12,1,1
2023-05-06,03:17,1,1
2023-05-06,04:11,1,1
2023-05-06,05:14,1,1
2023-05-06,06:12,1,1
2023-05-06,07:13,1,1
2023-05-06,08:14,1,1
2023-05-06,10:10,7,1
2023-05-06,11:27,7,1
2023-05-06,12:15,7,1
2023-05-06,13:16,7,3
2023-05-06,14:13,7,3
2023-05-06,15:17,7,6
2023-05-06,16:13,7,4
2023-05-06,17:16,7,4
2023-05-06,18:13,7,4
2023-05-06,19:14,7,4
2023-05-06,20:11,7,5
2023-05-06,21:26,7,6
2023-05-06,22:15,7,6
2023-05-06,23:11,7,6
2023-05-07,00:13,7,6
2023-05-07,01:17,7,6
2023-05-07,02:11,1,1
2023-05-07,03:17,1,1
2023-05-07,04:10,1,1
2023-05-07,05:13,1,1
2023-05-07,06:12,1,1
2023-05-07,07:12,1,1
2023-05-07,08:14,1,1
2023-05-07,10:18,8,1
2023-05-07,11:35,8,1
