店舗:,茨城県舐めていいとも
日付,時間,出勤数,待機
2023-05-16,07:13,1,1
2023-05-16,08:13,1,1
2023-05-16,10:15,1,1
2023-05-16,11:33,1,1
2023-05-16,12:15,1,1
2023-05-16,13:17,1,1
2023-05-16,14:13,2,2
2023-05-16,15:18,2,2
2023-05-16,16:13,3,3
2023-05-16,17:18,1,1
2023-05-16,18:14,3,3
2023-05-16,19:15,1,1
2023-05-16,20:11,3,3
2023-05-16,21:31,3,3
2023-05-16,22:17,4,4
2023-05-16,23:13,1,1
2023-05-17,00:14,5,5
2023-05-17,01:18,1,1
2023-05-17,02:12,6,6
2023-05-17,03:17,1,1
2023-05-17,04:11,2,2
2023-05-17,05:15,1,1
2023-05-17,06:12,1,1
2023-05-17,07:13,1,1
2023-05-17,08:13,1,1
2023-05-17,10:16,1,1
2023-05-17,11:32,1,1
2023-05-17,12:15,1,1
2023-05-17,13:17,2,2
