店舗:,千葉県スペック2
日付,時間,出勤数,待機
2023-05-03,01:19,1,1
2023-05-03,02:13,1,1
2023-05-03,03:18,1,1
2023-05-03,04:12,1,1
2023-05-03,05:15,1,1
2023-05-03,06:12,9,3
2023-05-03,07:13,9,1
2023-05-03,08:14,9,3
2023-05-03,10:15,9,1
2023-05-03,11:30,10,4
2023-05-03,12:15,10,5
2023-05-03,13:17,12,9
2023-05-03,14:13,12,8
2023-05-03,15:18,13,4
2023-05-03,16:14,13,6
2023-05-03,17:18,13,8
2023-05-03,18:14,13,12
2023-05-03,19:15,13,11
2023-05-03,20:12,12,12
2023-05-03,21:29,9,5
2023-05-03,22:17,8,4
2023-05-03,23:13,7,3
2023-05-04,00:15,1,1
2023-05-04,01:19,1,1
2023-05-04,02:12,1,1
2023-05-04,03:17,1,1
2023-05-04,04:11,1,1
2023-05-04,05:15,1,1
2023-05-04,06:13,7,4
2023-05-04,07:14,7,3
2023-05-04,08:14,11,6
2023-05-04,10:12,10,5
2023-05-04,11:30,10,7
2023-05-04,12:15,11,9
2023-05-04,13:17,11,8
2023-05-04,14:13,12,6
2023-05-04,15:18,11,4
2023-05-04,16:14,10,6
2023-05-04,17:18,11,6
2023-05-04,18:14,10,6
2023-05-04,19:15,8,5
2023-05-04,20:12,8,6
2023-05-04,21:28,7,1
2023-05-04,22:18,7,4
2023-05-04,23:13,7,5
2023-05-05,00:15,1,1
2023-05-05,01:28,1,1
2023-05-05,02:12,1,1
2023-05-05,03:18,1,1
2023-05-05,04:11,1,1
2023-05-05,05:15,1,1
2023-05-05,06:12,7,3
2023-05-05,07:13,7,4
2023-05-05,08:15,10,3
2023-05-05,10:07,10,5
2023-05-05,11:29,14,3
2023-05-05,12:15,14,9
2023-05-05,13:17,13,5
2023-05-05,14:13,12,2
2023-05-05,15:19,11,6
2023-05-05,16:13,12,5
2023-05-05,17:17,12,9
2023-05-05,18:14,12,9
2023-05-05,19:15,12,11
2023-05-05,20:12,10,5
2023-05-05,21:27,9,4
2023-05-05,22:17,6,2
2023-05-05,23:13,5,4
2023-05-06,00:14,1,1
2023-05-06,01:19,1,1
2023-05-06,02:12,1,1
2023-05-06,03:17,1,1
2023-05-06,04:11,1,1
2023-05-06,05:14,1,1
2023-05-06,06:12,6,3
2023-05-06,07:13,7,5
2023-05-06,08:14,9,3
2023-05-06,10:10,9,2
2023-05-06,11:27,13,2
2023-05-06,12:15,13,6
2023-05-06,13:16,12,3
2023-05-06,14:13,11,5
2023-05-06,15:17,11,7
2023-05-06,16:13,11,6
2023-05-06,17:16,10,5
2023-05-06,18:13,9,4
2023-05-06,19:14,9,6
2023-05-06,20:11,8,4
2023-05-06,21:26,8,5
2023-05-06,22:15,8,8
2023-05-06,23:11,6,4
2023-05-07,00:13,1,1
2023-05-07,01:17,1,1
2023-05-07,02:11,1,1
2023-05-07,03:17,1,1
2023-05-07,04:10,1,1
2023-05-07,05:13,1,1
2023-05-07,06:12,11,6
2023-05-07,07:12,10,7
2023-05-07,08:14,10,8
2023-05-07,10:18,9,6
2023-05-07,11:35,10,6
2023-05-07,12:15,10,7
2023-05-07,13:17,10,9
2023-05-07,14:13,9,6
2023-05-07,15:18,10,6
2023-05-07,16:12,8,4
2023-05-07,17:16,8,7
2023-05-07,18:13,9,7
