店舗:,東京プリシラ
日付,時間,出勤数,待機
2023-05-03,01:19,2,2
2023-05-03,02:13,1,1
2023-05-03,03:18,1,1
2023-05-03,04:12,1,1
2023-05-03,05:15,1,1
2023-05-03,06:12,1,1
2023-05-03,07:13,1,1
2023-05-03,08:14,1,1
2023-05-03,10:15,1,1
2023-05-03,11:30,1,1
2023-05-03,12:15,1,1
2023-05-03,13:17,7,1
2023-05-03,14:13,7,1
2023-05-03,15:18,7,4
2023-05-03,16:14,7,3
2023-05-03,17:18,7,5
2023-05-03,18:14,6,5
2023-05-03,19:15,3,2
2023-05-03,20:12,3,2
2023-05-03,21:29,2,1
2023-05-03,22:17,1,1
2023-05-03,23:13,1,1
2023-05-04,00:15,1,1
2023-05-04,01:19,1,1
2023-05-04,02:12,1,1
2023-05-04,03:17,1,1
2023-05-04,04:11,1,1
2023-05-04,05:15,1,1
2023-05-04,06:13,1,1
2023-05-04,07:14,1,1
2023-05-04,08:14,1,1
2023-05-04,10:12,1,1
2023-05-04,11:30,1,1
2023-05-04,12:15,4,1
2023-05-04,13:17,5,2
2023-05-04,14:13,5,3
2023-05-04,15:18,6,3
2023-05-04,16:14,6,4
2023-05-04,17:18,4,2
2023-05-04,18:14,4,2
2023-05-04,19:15,3,1
2023-05-04,20:12,3,1
2023-05-04,21:28,3,2
2023-05-04,22:18,1,1
2023-05-04,23:13,1,1
2023-05-05,00:15,1,1
2023-05-05,01:28,1,1
2023-05-05,02:12,1,1
2023-05-05,03:18,1,1
2023-05-05,04:11,1,1
2023-05-05,05:15,1,1
2023-05-05,06:12,1,1
2023-05-05,07:13,1,1
2023-05-05,08:15,1,1
2023-05-05,10:07,7,1
2023-05-05,11:29,7,1
2023-05-05,12:15,7,1
2023-05-05,13:17,6,1
2023-05-05,14:13,5,3
2023-05-05,15:19,5,2
2023-05-05,16:13,5,3
2023-05-05,17:17,5,4
2023-05-05,18:14,5,2
2023-05-05,19:15,5,2
2023-05-05,20:12,4,3
2023-05-05,21:27,4,4
2023-05-05,22:17,1,1
2023-05-05,23:13,1,1
2023-05-06,00:14,1,1
2023-05-06,01:19,1,1
2023-05-06,02:12,1,1
2023-05-06,03:17,1,1
2023-05-06,04:11,1,1
2023-05-06,05:14,1,1
2023-05-06,06:12,1,1
2023-05-06,07:13,1,1
2023-05-06,08:14,1,1
2023-05-06,10:10,1,1
2023-05-06,11:27,1,1
2023-05-06,12:15,3,1
2023-05-06,13:16,4,2
2023-05-06,14:13,3,1
2023-05-06,15:17,4,1
2023-05-06,16:13,4,2
2023-05-06,17:16,4,4
2023-05-06,18:13,2,2
2023-05-06,19:14,2,2
2023-05-06,20:11,2,2
2023-05-06,21:26,2,1
2023-05-06,22:15,2,2
2023-05-06,23:11,2,2
2023-05-07,00:13,1,1
2023-05-07,01:17,1,1
2023-05-07,02:11,1,1
2023-05-07,03:17,1,1
2023-05-07,04:10,1,1
2023-05-07,05:13,1,1
2023-05-07,06:12,1,1
2023-05-07,07:12,1,1
2023-05-07,08:14,1,1
2023-05-07,10:18,1,1
2023-05-07,11:35,1,1
2023-05-07,12:15,5,1
2023-05-07,13:17,5,1
2023-05-07,14:13,5,2
2023-05-07,15:18,5,2
2023-05-07,16:12,5,2
2023-05-07,17:16,5,2
2023-05-07,18:13,5,3
2023-05-07,19:14,5,4
2023-05-07,20:11,5,5
2023-05-07,21:26,3,3
2023-05-07,22:15,3,3
2023-05-07,23:12,3,3
2023-05-08,00:14,1,1
2023-05-08,01:17,1,1
2023-05-08,02:12,1,1
2023-05-08,03:16,1,1
2023-05-08,04:10,1,1
2023-05-08,05:14,1,1
2023-05-08,06:12,1,1
2023-05-08,07:13,1,1
2023-05-08,08:13,1,1
2023-05-08,10:12,1,1
2023-05-08,11:32,1,1
2023-05-08,12:15,1,1
2023-05-08,13:17,6,2
2023-05-08,14:14,6,3
2023-05-08,15:19,6,3
2023-05-08,16:14,5,3
2023-05-08,17:19,5,3
2023-05-08,18:15,3,3
2023-05-08,19:15,3,3
2023-05-08,20:12,3,2
2023-05-08,21:29,3,2
2023-05-08,22:17,3,2
2023-05-08,23:13,2,2
2023-05-09,00:15,1,1
2023-05-09,01:19,1,1
2023-05-09,02:12,1,1
2023-05-09,03:17,1,1
2023-05-09,04:11,1,1
2023-05-09,05:14,1,1
2023-05-09,06:12,1,1
2023-05-09,07:13,1,1
2023-05-09,08:15,1,1
2023-05-09,10:15,1,1
2023-05-09,11:32,1,1
2023-05-09,12:16,1,1
2023-05-09,13:17,4,1
2023-05-09,14:13,5,2
2023-05-09,15:19,5,3
2023-05-09,16:13,5,3
2023-05-09,17:18,5,2
2023-05-09,18:14,5,2
2023-05-09,19:15,5,3
2023-05-09,22:04,5,5
2023-05-09,23:14,4,4
2023-05-10,00:15,4,4
2023-05-10,01:18,4,4
2023-05-10,02:12,4,4
2023-05-10,03:18,1,1
2023-05-10,04:11,1,1
2023-05-10,05:15,1,1
2023-05-10,06:12,1,1
2023-05-10,07:13,1,1
2023-05-10,08:14,1,1
2023-05-10,10:12,1,1
2023-05-10,11:30,1,1
2023-05-10,12:15,1,1
2023-05-10,13:17,4,3
2023-05-10,14:13,4,3
2023-05-10,15:18,4,3
2023-05-10,16:13,4,3
